категория категорија
сан сан
причина причина
причина разум
причина разумот
бразилия бразил
начало почни
начало почеток
начало старт
биография био
биография биографија
движение иницијативата
движение движење
движение помести
движение премести
актьор глумец
актьор актер
централна централно
централна централен
централна централа
централна централна
париж париз
починал починати
починал почината
починал починат
вморо imaro
музей музеј
книга книга
какво што
едва одвај
едва едвај
йорк јорк
главно воглавно
главно главно
главно претежно
главно најмногу
главно најчесто
голямо голем
голямо голема
голямо големи
голямо големо
константин константин
япония јапонија
япония јапан
полша полска
филип филипе
филип филип
филип filip
командир командант
командир командир
носи носи
носи носам
носи носење
носи носат
австралия австралија
сила снага
сила сила
сила силата
сила присили
сила моќ
сила власт
сила моќност
цялата цела
цялата целина
потребител потрошувачки
потребител потрошувачите
потребител кориснички
потребител корисник
потребител корисникот
точно точно
смърт смрт
смърт смртта
германски германски
германски герман
германски германска
носител носач
носител носител
носител превозник
правителство влада
президент претседател
полк полк
полк полкот
футбол фудбал
случай случај
случай кејс
означава значи
против против
раждане раѓање
раждане раѓањето
изкуство уметност
изкуство уметности
изкуство арт
изкуство уметничко
изкуство уметноста
азия азија
версия верзија
малка малечко
малка мала
малка мал
малка мали
малка мало
малка литл
малка малку
театър театар
приема прифаќа
пак повторно
пак одново
пак пак
източна источна
източна источни
източна источно
източна источен
индия индија
лондон london
лондон лондон
лондон лондонски
британски британски
британски британска
британски британскиот
основно воглавно
основно главно
отношение став
текст текст
текст стихови
пет пет
пет петмина
пет five
образование образование
образование едукација
главен главни
главен главен
главен главна
главен главното
понякога некогаш
понякога понекогаш
някой некој
някой некого
някой некому
въстание востание
въстание бунтови
въстание револт
въстание бунт
въстание побуна
левски левски
военен воена
военен војска
казва вели
казва кажува
следва следува
малък малечко
малък мала
малък мал
малък мали
малък мало
малък литл
малък малку
носители носачи
носители превозници
носители носители
сметка сметка
сметка сметката
сметка ливче
разлика diff
разлика разлики
разлика разлика
рок рок
рок камен
рок карпа
създаването создавање
създаването креирање
създаването креација
дом дом
дом дома
дом домот
дом home
дом dom
кралство кралство
кралство царство
същото истите
същото истото
същото исто
същото исти
същото ист
същото иста
учител тутор
учител наставник
учител професорка
учител наставничка
учител учител
учител професор
известна позната
известна познати
известна познат
известна познатата
известна славна
починали починати
починали почината
починали починат
точки точки
точки поенти
точки поени
игри игри
албуми албуми
напълно целосно
напълно комплетно
напълно сосема
напълно потполно
напълно тотално
клуб клуб
щати државите
щати држави
бряг брег
бряг брегот
бряг плажа
бряг бич
бряг крајбрежје
бряг обала
месеца месеци
мексико мексико
състояние статус
състояние услов
състояние состојба
превод преведување
превод превод
директор режисер
директор директор
директор директорот
директор директорката
институт институт
канада канада
сигурност сигурност
сигурност обезбедување
сигурност безбедност
бургас бургас
румъния романскиот
румъния романска
румъния романски
румъния романија
основни главни
основни главен
основни главна
основни главното
основни основи
основни основно
основни основни
основни башиќ
основни основна
основни основен
основни основните
действия дејство
действия акција
действия дејства
действия активности
действия дејствија
действия постапки
нар nar
нар калинка
метра метри
събрание средба
събрание состанок
събрание собранието
събрание собрание
иванов иванов
войни воини
войни војни
имена имиња
изключително ексклузивно
изключително ексклузивна
изключително ексклузивни
изключително exclusive
изключително екстремно
изключително исклучително
изключително исклучиво
жена жената
жена жено
жена жена
жена женка
жена женско
жена женски
жена женска
жена сопруга
доклад пријави
доклад извештај
унгария унгарија
димитров димитров
изследвания тестови
изследвания испитувања
изследвания тестовите
изследвания истраги
изследвания студии
изследвания истражување
изследвания истражувања
реката река
реката ривер
реката реката
кирил кирил
кирил kiril
египет египет
формула формула
номер број
обща општи
обща општа
обща општо
обща генерал
обща обичен
обща заедничка
обща заеднички
обща вообичаено
обща вкупно
обща вкупен
обща тотал
обща вкупна
вестник весник
вестник весници
опит искуство
животни животни
животни животинско
животни животно
животни животински
нито ниту
разпространение дистрибуира
разпространение ширење
разпространение шири
разпространение рашири
разпространение ширењето
разпространение распределба
разпространение дистрибуција
актриса глумица
актриса актерка
австрия австрискиот
австрия австриски
австрия австриска
австрия австриско
австрия австрија
художник сликарот
художник сликар
художник изведувач
художник уметник
търново трново
назначен доделена
назначен доделено
назначен доделени
назначен доделен
назначен назначена
назначен назначен
назначен назначени
назначен наименуван
мачове совпаѓања
мачове натпревари
територия територија
сингъл единствена
сингъл сингл
сингъл самец
друго macedonian
друго други
победа победи
победа победуваат
победа победа
борис boris
борис борис
права права
университета универзитет
княз принцот
княз принц
режисьор режисер
режисьор директор
служи служи
служи служат
служи сервира
служи послужи
съществува постои
съдържа содржи
програма програм
програма програма
решение одлука
решение раствор
решение решение
защита заштити
защита заштитува
защита штити
защита заштита
защита одбрана
гора gora
гора гора
гора шума
гора шумски
идва доаѓа
идва следува
идва доаѓам
хайнрих хајнрих
просто само
столицата престолнина
столицата капитал
официално официјално
официално службен
официално службено
официално официјална
официално формално
официално формални
официално формална
официално формален
системи системи
страници страници
влияние влијанието
влияние влијание
съд медиумот
съд медиум
съд суд
йохан јохан
портал порталот
портал портал
портал премин
портал порта
купа садот
купа чашка
купа куп
купа шолја
купа пехар
мрежа net
мрежа нето
мрежа нет
мрежа мрежа
мрежа решетка
мрежа мрежи
мрежа network
проект проект
производство производство
производство продукција
създаване создај
създаване креирање
създаване создавање
създаване креација
изцяло целосно
проф проф
цвят боја
владимир владимир
владимир vladimir
промени промени
промени измени
промени промена
промени смени
гола гола
гола гол
гола голи
поле поле
впоследствие последователно
области окрузи
области области
области домени
области подрачја
позиция позиција
позиция положба
професор професор
селища села
селища населби
лятото лето
продължение наставка
продължение продолжение
продължение продолжување
продължение континуитет
продължение продолжението
джеймс џејмс
джеймс џемс
титли титули
титли наслови
описание опис
родена родено
родена роди
родена роден
родена родени
родена раѓа
възможност можноста
възможност можност
разположени лоциран
разположени лоцирана
разположени лоцирано
разположени сместена
разположени распоредена
разположени распоредени
разположени распореден
луций луциј
луций луциус
вилхелм вилхелм
калифорния калифорнија
зона зона
зона област
зона подрачје
винаги секогаш
издание издание
трети трета
трети трет
трети трето
трети трети
трети третиот
планината планинска
планината планински
планината планина
планината маунт
планината планината
планината монтирање
сгради градби
сгради згради
условия термини
условия услови
статут статус
статут статут
статут статутот
цели целите
цели голови
цели цели
цели метите
цели мети
селище населба
тодор тодор
политици политика
политици политичарите
политици политичари
политици политичар
техните нивната
техните нивните
техните нивното
техните нивна
техните нивно
техните нивни
парк парк
парк park
тялото тело
пространство простор
пространство вселена
пространство просторот
актьори глумци
актьори актери
организации организации
песен песна
военна воена
военна војска
швеция шведска
йоан јован
йоан џон
клас клас
клас класа
близост блискост
близост близината
златен златно
златен златни
златен златна
златен златен
златен злато
поп поп
поп pop
сестра sister
сестра сестра
второ второ
второ втор
второ втори
второ втората
второ втора
земя земја
земя земјата
земя земјо
земя ланд
земя копно
земя земјиште
земи поседи
земи ланд
земи копно
земи земјиште
цска цска
турски турска
турски турско
турски турски
турски турскиот
проблеми неволја
проблеми проблем
проблеми проблеми
проблеми прашања
европейски европски
европейски европско
европейски европска
случаи случаи
случаи случаеви
пост објава
пост објавата
пост пост
пост објави
пътя road
пътя пат
процес процес
процес процесот
процес судење
представител претставничка
представител претставник
представител преставник
участието учество
гай гај
гай тип
местоположение локација
ново ново
ново нов
ново нови
ново нова
списание магазин
списание списание
неговия негова
неговия негово
неговия неговите
неговия неговиот
неговия неговата
неговия негов
елементи предмети
елементи ставки
елементи елементи
битка борба
битка битка
битка тепачка
съдия судија
съдия судијата
показва покажува
показва емисии
показва прикажува
връзки конекции
връзки поврзувања
връзки односи
връзки врските
връзки линковите
връзки врски
връзки линкови
средства средства
средства фондови
произведения работи
произведения дела
ниво ниво
езерото езерото
езерото езеро
армията армија
армията војска
разположена лоциран
разположена лоцирана
разположена лоцирано
разположена сместена
петров петров
месец месецот
месец месец
месец месечно
месец месечен
испански шпански
испански шпанско
испански шпанска
развива развива
украйна украина
убит убиена
убит убиени
убит убивани
убит убиен
убит убиено
убит уби
създаден создадено
създаден создадени
създаден креирано
създаден создадена
създаден создаден
създадена создадено
създадена создадени
създадена креирано
създадена создадена
създадена создаден
столица престолнина
столица капитал
черно црн
черно црна
черно црно
черно црни
черно црнец
децата деца
царство кралство
царство царство
поет поет
двойки двојки
двойки парови
двойки пара
републикански републиканец
републикански републиканска
републикански републикански
републикански републиканци
успех успех
успех успеси
павел павел
брак бракови
брак брак
секретар секретар
секретар секретарка
компания компанија
съпругата сопруга
съпругата жена
представители претставници
представители преставници
участват учествува
решава одлучува
годишна годишен
годишна годишна
вместо наместо
издаден издаден
издаден издадена
издаден издадени
издаден издадено
тракия тракија
възможно можно
възможно можни
възможно возможно
възможно можен
висока високиот
висока висок
висока висока
висока хај
висока високо
висока high
ширина ширина
обявява најавува
обявява најави
загора загора
източник извор
модел модел
колев колев
културни културни
културни културен
културни културно
културни културна
статистика статистика
статистика статистиката
анна ана
анна ana
момент момент
момент moment
българите бугарите
българите бугари
температура грозница
температура треска
температура температура
предлага предлага
предлага нуди
предлага понуди
глава поглавје
глава главата
глава глава
водата вода
водата воден
дело случај
дело кејс
отношения односи
отношения врска
отношения однос
позволява дозволува
позволява овозможува
медал медал
въпрос прашање
пол полови
пол пол
пол полот
пол паул
пол павле
дружество компанија
профил профил
профил профилот
съществуват постоиме
съществуват постојат
сезона сезона
сградата градба
сградата зграда
сградата градење
значително значителен
значително значителна
значително значителни
значително значително
значително значајни
значително значајно
значително значајна
значително значаен
определя одредува
определя поставува
определя комплети
определя заоѓа
определя сетови
определя дефинира
основан основана
основан основани
основан основано
основан основан
русе русе
кораб медиумот
кораб медиум
кораб брод
кораб занает
кораб чамец
икономика економија
кюстендил ќустендил
офицер офицер
офицер полицаец
цялото цела
цялото целина
теория теорија
общество општество
преброяването попис
дълго лонг
дълго долги
дълго долго
дълго долга
райони региони
райони окрузи
райони области
райони подрачја
езеро езерото
езеро езеро
папа папа
спас spas
спас бањи
спас спа
основа фондација
основа темели
основа темел
основа базата
основа база
основа основа
елизабет елизабета
елизабет елизабет
бивш поранешно
бивш поранешни
бивш поранешен
бивш поранешна
бивш бивши
дума збор
полет полет
полет лет
двама два
двама двајца
двама две
реки реки
реки риверс
реки реките
среда средина
среда околина
среда опкружување
избори избори
общини општини
ясно јасна
ясно јасно
ясно чисто
ясно јасен
ясно исчисти
ясно очигледно
актриси глумици
актриси глумица
актриси актерка
минути минути
паметник споменик
губи губат
губи губење
губи губејќи
губи губи
губи изгуби
достатъчно доста
достатъчно доволна
достатъчно доволно
формата облик
формата форма
включват вклучи
включват вклучува
уилям вилијам
белгия белгија
говори разговараме
говори зборувај
говори збори
говори зборувајте
думи зборови
школа училиште
школа школа
епархия епархија
шест шестмина
шест six
шест шест
хиляди илјадници
заместник заменик
гвинея гвинеја
такъв вакви
такъв таквите
такъв такви
такъв таков
такъв таква
храм светилиште
храм храмот
храм темпл
храм храм
горна горна
горна горен
отказва одбива
отказва одбиено
отказва одбил
отказва одбила
отказва одби
ботев ботев
постепенно постепено
романи романи
построена изграден
построена изградена
построена изградени
построена изградено
забележителности знаменитости
забележителности обележја
забележителности разгледување
забележителности прошетките
контрол контрола
контрол контролира
контрол контроли
контрол контролите
жан жан
жан џин
интернет интернет
американска американска
американска американски
американска американец
границата граница
римска римска
римска римски
римска римјанин
римска роман
римска римско
океан оушн
океан океан
зрители гледачи
зрители гледачите
география географија
победи тепале
победи победи
победи победуваат
победи победа
победи победите
елена елена
елена хелена
статистиката статистика
роли роли
роли улоги
роли ролс
лудвиг лудвиг
космически космичка
космически космички
представя подароци
сграда градба
сграда зграда
сграда градење
македонски македонско
македонски македонска
македонски македонец
македонски македонски
виж види
виж гледаш
виж видете
виж погледни
виж гледај
съдържание содржина
съдържание содржини
китара гитара
мъже мажи
мъже мажите
мъже луѓе
мъже машки
югославия југославија
епископ бискуп
епископ бишоп
епископ владика
северно северно
северно север
северно северот
георгиев георгиев
музиката музика
острова островот
острова остров
морски маринец
морски поморска
морски поморски
морски наутички
иска сака
черна црн
черна црна
черна црно
черна црни
черна црнец
високо високиот
високо висок
високо висока
високо хај
високо високо
високо high
използвани искористен
използвани користени
използвани користена
използвани искористена
използвани користен
системата систем
революция револуција
пример пример
луи луј
луи луис
луи луи
олимпийски олимписки
олимпийски олимпик
колумбия колумбија
полски полски
полски полска
полски полирање
полски полско
изпълнява изведува
изпълнява настапува
всъщност всушност
радио радио
национална национални
национална национална
национална национален
национална национално
политическа политички
политическа политичко
политическа политичка
сръбски србин
сръбски србинка
сръбски српски
сръбски српска
маса табела
маса маса
маса масовен
маса масовно
маса масовни
маса миса
единствено само
обекти објекти
обекти предмети
обекти субјекти
обекти субјектите
обекти поданици
робърт роберт
робърт робер
борба борење
борба борба
борба борбите
борба тепачка
направи make
направи направи
практика вежбање
практика пракса
практика практика
епоха ера
епоха епоха
план планираат
план план
швейцария швајцарија
швейцария swiss
швейцария швајцарски
швейцария швајцарско
швейцария швајцарска
посолство амбасада
кариерата каменолом
кариерата каменоломот
военно воена
военно војска
средно просечен
средно просечни
средно просечно
средно просек
средно просечна
средно среден
средно медиум
средно средно
сериал серија
сериал серии
специално поточно
специално специфично
специално конкретно
специално специјално
специално посебно
специално специјален
специално специјални
специално посебна
специално специјална
материали материјална
материали материјал
материали материјали
число број
течение јамка
поема поема
кораби бродови
кораби чамци
кораби бродовите
берлин berlin
берлин берлин
солун солун
герой херој
герой јунак
целта таргет
целта метата
целта мета
саксония саксонија
началник шеф
началник главен
началник шефот
началник началник
форми формулари
форми форми
форми облици
класиране рангирање
класиране пласман
класиране класификација
класиране пласманот
посока правец
посока насока
посока одредиште
посока дестинација
посока упатена
съответно соодветно
проекта проект
спорт sport
спорт спорт
спорт спортови
спорт спортски
сам сами
сам сама
сам сам
сам сем
сам sam
нищо ништо
стоянов стојанов
православна православна
православна православно
православна православен
православна православни
стоян стојан
приток прилив
играч играчот
играч играч
широко широко
широко широка
широко широк
широко широки
използван искористен
използван користени
използван користена
използван искористена
използван користен
принос внес
принос влезни
принос придонес
принос придонеси
ото отон
ото ото
неговият негова
неговият негово
неговият неговите
неговият неговиот
неговият неговата
неговият негов
сравнително компаративна
сравнително релативно
публикува објавила
публикува објави
библиотека библиотека
скорост брзина
редовни редовна
редовни регуларен
редовни регуларно
редовни редовни
редовни редовен
редовни регуларни
съветски советска
съветски советски
ръководител надзорник
последен последно
последен последни
последен последен
последен последна
последен последниот
къщи куќи
къщи домови
руско руска
руско руски
руско руско
южен јужен
южен јужна
южен јужни
южен југ
южен јужно
птици птиците
птици птици
открити откриени
открити откриено
открити откриена
енергия енергија
енергия енергетска
енергия енерџи
енергия energy
енергия енергетика
световно глобална
световно глобални
световно глобално
джордж џорџ
джордж џорџе
джордж george
партии партиите
партии партии
партии забави
открит откриени
открит откриено
открит откриена
открит нашол
открит пронајдени
открит најдено
открит пронајдено
открит пронајдена
открит најден
виена виена
южно југ
южно јужно
южно јужна
училището училиште
училището школа
обект предмет
обект објект
обект субјектот
обект тема
обект субјект
територии територии
територии територија
вариант варијанта
вариант опција
долна долна
долна пониско
долна долен
династия династијата
династия династија
бог богот
бог бога
бог бог
бог господ
телевизия телевизија
футболен фудбал
издателство издавач
издателство издавачки
издателство објавување
долината долината
долината долина
долината котлина
принцеса принцезата
принцеса принцеза
илия илија
илия елија
илия ilija
дете дете
дете кид
защо зошто
защо зашто
граница граница
граница ограничување
граница ограничи
аржентина аргентина
аржентина аргентинскиот
база базата
база база
база основа
отделни одделни
отделни одделно
отделни одвоени
годините години
гол автогол
гол цел
гол гол
зад позади
зад зад
взема превзема
закон закон
мартин мартин
титла титула
титла наслов
гърци грци
гърци грците
никога никогаш
наречен повика
полуостров полуостров
атанас атанас
константинопол цариград
константинопол цариградски
константинопол константинопол
езика јазик
френска французи
френска француски
войници војници
войници трупи
турнир турнир
международни international
международни меѓународна
международни интернационална
международни меѓународни
международни меѓународен
броя броиме
броя броење
броя пребројување
съюза синдикат
съюза унија
съюза union
